,0
237,5.687290191650391
238,5.927914142608643
239,5.785452365875244
240,6.875263690948486
241,6.107951641082764
242,6.04284143447876
243,4.825758457183838
244,4.629395961761475
245,5.918653964996338
246,5.71888542175293
247,5.483985424041748
248,5.131412982940674
249,4.113997459411621
250,5.891871452331543
251,3.339494228363037
252,3.723261833190918
253,6.50477409362793
254,6.987692356109619
255,6.795286655426025
256,3.349928140640259
257,6.502845287322998
258,5.689651966094971
259,4.405474662780762
260,4.660584449768066
261,4.627244472503662
262,5.1104536056518555
263,3.814802885055542
264,2.547924518585205
265,2.9269394874572754
266,2.70757794380188
267,2.5664725303649902
268,7.622817516326904
269,5.218663692474365
270,4.7077155113220215
271,6.468483924865723
272,7.453489303588867
273,7.457606315612793
274,5.275090217590332
275,5.491884708404541
276,5.697978496551514
277,5.966655254364014
278,5.449289321899414
279,5.37799072265625
280,5.895543575286865
281,5.845465660095215
282,5.825091361999512
283,5.479114532470703
284,5.6717071533203125
285,4.108846187591553
286,4.288073539733887
287,5.024058818817139
288,4.976831436157227
289,5.163246154785156
290,6.186178684234619
291,6.291633129119873
292,1.8558349609375
293,3.7932093143463135
294,4.643985748291016
295,3.6307499408721924
296,4.7960591316223145
297,5.270415782928467
298,4.212699890136719
299,4.511715888977051
300,4.147319316864014
301,6.001651763916016
302,5.4462080001831055
303,3.662797689437866
304,4.182598114013672
305,5.096673965454102
306,5.854041576385498
307,5.852736949920654
308,5.770992279052734
309,5.602023601531982
310,5.688551902770996
311,5.960636138916016
312,6.530411243438721
313,4.616449356079102
314,5.409095764160156
315,5.3008317947387695
316,5.693898677825928
317,6.560998439788818
318,6.352442264556885
319,3.368736743927002
320,1.7225266695022583
321,8.036555290222168
322,6.799600124359131
323,4.053865432739258
324,6.663671493530273
325,4.735361576080322
326,4.854900360107422
327,5.2108659744262695
328,7.466770648956299
329,3.7042887210845947
330,3.5261688232421875
331,5.281890392303467
332,4.763616561889648
333,5.846724510192871
334,4.610260963439941
335,4.512923717498779
336,6.713992595672607
337,5.660374641418457
338,5.574254035949707
339,5.210697650909424
340,7.1562089920043945
341,5.143505573272705
342,4.663377285003662
343,4.011567115783691
344,5.11837911605835
345,4.959054470062256
346,4.142136573791504
347,5.535898208618164
348,5.762260913848877
349,6.0617804527282715
350,6.134833335876465
351,5.652750492095947
352,6.81208610534668
353,6.350307941436768
354,8.022123336791992
355,7.71727991104126
356,7.213872909545898
357,5.650764465332031
358,6.23709774017334
359,6.2809553146362305
360,5.750439643859863
361,6.03225040435791
362,3.1658895015716553
363,3.7356693744659424
364,3.8188083171844482
365,3.7002382278442383
366,3.5985395908355713
367,4.162659168243408
368,3.814939022064209
369,3.5148653984069824
370,5.007390975952148
371,5.254706859588623
372,5.400099277496338
373,4.166898250579834
374,4.831552982330322
375,4.813441276550293
376,5.880468845367432
377,7.304871082305908
378,7.785958290100098
379,6.339707851409912
380,4.953760623931885
381,7.004532337188721
382,3.629122495651245
383,6.193099498748779
384,6.296311378479004
385,3.8355536460876465
386,3.7759573459625244
387,4.022219181060791
388,3.5222291946411133
389,1.9635547399520874
390,6.798449516296387
391,6.533108711242676
392,6.522143363952637
393,4.873640060424805
394,6.286210536956787
395,6.197237968444824
396,4.390709400177002
397,5.814684867858887
398,5.094449996948242
